"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"        Window coverings                                    ","SE",2.11,1.32,0.21,0.36,1.68,2.95,2.56,2.22,1.85,6
"        Infants'' equipment                                 ","MEAN",13.43,3.21,13.84,14.58,1.54,2.79,8.88,4.95,14.17,23.38
"        Infants'' equipment                                 ","SE",2.61,3.26,12.94,9.51,1.31,1.55,6.86,3.16,8,5.89
"        Laundry and cleaning equipment                      ","MEAN",18.29,5.47,6.91,18.04,10.25,8.48,12.3,18.87,20.29,26.38
"        Laundry and cleaning equipment                      ","SE",1.25,2.02,3.01,5.72,2.27,2.01,1.93,3.67,3.12,2.26
"        Outdoor equipment                                   ","MEAN",25.58,0,5.35,4.88,3.3,23.47,21.83,9.39,22.7,45.19
"        Outdoor equipment                                   ","SE",4.36,0,3.43,3.34,2.44,14.04,16.12,4.08,8.39,9.59
"        Lamps and lighting fixtures (thru Q20124)           ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Lamps, lighting fixtures, ceiling fans (new UCC     ","MEAN",29.48,8.74,0,1.96,17.1,18.59,21.64,9.7,13.47,59.31
"        Lamps, lighting fixtures, ceiling fans (new UCC     ","SE",4.56,4.97,0,1.25,10.71,7.99,8.61,3.54,3.96,12.85
"        Clocks and other household decorative items         ","MEAN",111.12,36.13,20.68,26.58,29.01,37.52,68.51,113.06,130.37,185.94
"        Clocks and other household decorative items         ","SE",8.9,9.23,7.71,6.46,10.46,6.76,16.39,33.26,27.84,16.82
"        Telephones and accessories                          ","MEAN",55.83,20.48,97.39,10.08,28.46,42.58,43.23,55.07,65.7,72.69
"        Telephones and accessories                          ","SE",7.85,18.58,93.28,4.76,27.28,18.67,20.16,29.83,19.85,12.61
"        Lawn and garden equipment                           ","MEAN",60.3,6.32,8.09,10.33,27.92,25.45,49.07,19.03,69,107.48
"        Lawn and garden equipment                           ","SE",14.9,3.71,7.3,7.32,4.86,10.65,28.09,7.99,39.96,37.33
"        Power tools                                         ","MEAN",34.53,36.76,9.85,25.58,16.65,27.25,21.99,34.28,46.9,42.42
"        Power tools                                         ","SE",4.39,26.31,5.41,19.07,9.98,16.25,10.09,10.95,15.15,8.57
"        Office furniture for home use                       ","MEAN",6.09,1.78,3.31,1.63,4.6,2.9,2.43,3.32,6.68,10.95
"        Office furniture for home use                       ","SE",0.98,0.96,2.78,0.5,2.44,1.17,1.16,2.15,2.51,2.7
"        Hand tools                                          ","MEAN",22.24,2.63,5.71,2.54,2.77,7.39,19.42,26.21,32.55,33.31
"        Hand tools                                          ","SE",3.27,2.73,3.76,1.35,1.82,3.61,7.57,9.43,10.34,6
"        Indoor plants, fresh flowers                        ","MEAN",49.43,13.52,8.16,14.85,22.82,26.67,28.59,41.09,49.68,87.99
"        Indoor plants, fresh flowers                        ","SE",1.91,2.63,2.45,4.21,3.51,3.08,3.45,4.43,6.4,4.63
"        Closet and storage items                            ","MEAN",12.97,2.4,6.74,0.95,2.47,3.74,5.99,14.4,12.97,23.48
"        Closet and storage items                            ","SE",1.85,1.46,6.56,0.61,1.18,0.99,1.64,6.55,3.74,5.02
"        Rental of furniture                                 ","MEAN",4.3,4.94,10.72,10.45,3.65,3.16,2.88,6.48,5.68,2.07
"        Rental of furniture                                 ","SE",1.03,2.83,11.09,7.79,2.04,1.18,1.89,3.43,3.05,1.06
"        Luggage                                             ","MEAN",16.35,0.24,0,8.16,4.68,0.2,7.15,5.95,2.47,39.95
"        Luggage                                             ","SE",4.63,0.24,0,6.54,2.92,0.2,4.51,3.72,1.08,13.16
"        Computers and computer hardware for nonbusiness use ","MEAN",138.09,83.81,59.89,43.25,74.01,73.75,79.55,130.4,131.17,231.99
"        Computers and computer hardware for nonbusiness use ","SE",6.66,22.17,20.26,10.11,15.3,13.39,12.98,23.9,14.58,13.7
"        Portable memory                                     ","MEAN",3.51,1.34,1.54,1.67,1.62,2.25,1.42,2.26,3.76,6.11
"        Portable memory                                     ","SE",0.3,0.39,0.51,0.53,0.59,0.59,0.39,0.47,0.78,0.66
"        Computer software                                   ","MEAN",9.93,11.63,4.89,1.83,3.98,4.54,4.58,7.32,12.05,16.36
"        Computer software                                   ","SE",0.93,6.18,1.52,0.81,0.89,1.29,1.1,1.87,2.51,1.95
"        Computer accessories                                ","MEAN",38.77,7.78,49.91,3.63,16.47,10.41,27.51,22.78,41.32,67.02
"        Computer accessories                                ","SE",3.89,4.9,26.93,3.32,6.89,4.36,11.31,6.92,8.11,9.25
"        Personal digital assistants (thru Q20131)           ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Internet services away from home                    ","MEAN",3.18,2.22,0.12,2.64,1.76,2.3,4.96,2.03,4.79,3.44
"        Internet services away from home                    ","SE",0.32,1.21,0.12,0.84,0.86,0.68,1.22,0.4,1.01,0.51
"        Telephone answering devices (thru Q20131)           ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Business equipment for home use                     ","MEAN",3.75,3.99,0.73,0.65,1.83,2,2.85,1.96,3.85,6.38
"        Business equipment for home use                     ","SE",0.49,1.7,0.49,0.37,0.91,0.74,0.99,0.79,1.61,1.15
"        Other hardware                                      ","MEAN",12.34,4.69,6.85,8.96,0.33,6.1,2.96,5,3.67,27
"        Other hardware                                      ","SE",4.98,3.59,4.88,8.43,0.33,2.56,1.74,3.06,1.52,14.11
"        Smoke alarms (owned home) (thru Q20131)             ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Smoke alarms (renter) (thru Q20131)                 ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Smoke alarms (owned vacation) (thru Q20131)         ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Other household appliances (owned home)             ","MEAN",8.29,1.28,0.36,0.8,2.37,2.51,5.75,11.54,6.38,15.66
"        Other household appliances (owned home)             ","SE",1.13,0.81,0.24,0.47,1.38,0.78,2.59,4.77,1.71,2.51
"        Other household appliances (renter)                 ","MEAN",2.02,1.17,1.37,1.21,2.61,4.03,2.55,3.17,1.83,1.15
"        Other household appliances (renter)                 ","SE",0.32,1.16,0.65,0.63,1.65,1.65,1.19,1.08,0.72,0.31
"        Miscellaneous household equipment and parts         ","MEAN",46.55,9.89,34.47,14,26.27,25.96,33.3,65.39,39.82,69.72
"        Miscellaneous household equipment and parts         ","SE",4.58,3.24,18.64,4.18,7.18,6.21,13.4,22.92,8.96,9.51
"  Apparel and services                                      ","MEAN",1765.87,930.8,667.84,733.21,782.83,944.67,1319.1,1506.26,1594.63,2886.32
"  Apparel and services                                      ","SE",51.44,191.21,88.08,85.21,90.98,72.79,151.83,129.05,85.36,111.49
"    Men and boys                                            ","MEAN",410.31,263.47,136.62,144.04,183.06,207.91,311.49,309.88,364.39,687.44
"    Men and boys                                            ","SE",14.22,76.33,30.66,27.39,31.97,23.34,39.96,33.11,32.18,34.97
"      Men, 16 and over                                      ","MEAN",326.12,209.44,109.3,110.14,144.84,159.23,228.65,227.25,293.74,556.76
"      Men, 16 and over                                      ","SE",13.51,64.43,29.91,27.89,30.7,20.89,35.79,26.68,33.64,33.62
"        Men''s suits                                        ","MEAN",21.59,13.57,3.66,3.5,4.84,3.6,4.57,8.6,19.43,47.61
"        Men''s suits                                        ","SE",2.57,9.82,2.7,1.66,2.35,2.01,1.39,2.38,5.26,7.36
"        Men''s sportcoats, tailored jackets                 ","MEAN",8.24,1.31,0.1,4.72,0.37,1.56,2.2,4.53,2.88,19.91
"        Men''s sportcoats, tailored jackets                 ","SE",1.35,0.79,0.08,4.18,0.28,0.84,0.68,2.06,0.88,3.71
"        Men''s coats and jackets                            ","MEAN",23.26,9.27,10.3,13.74,2.15,19.52,37.81,12.26,28.54,29.21
"        Men''s coats and jackets                            ","SE",2.89,7.14,6.93,6.43,2.18,5.43,16,8.48,7.95,6.73
"        Men''s underwear                                    ","MEAN",31.14,24.83,11.99,11.83,11.11,9.77,30.35,24.58,33.74,48.65
"        Men''s underwear                                    ","SE",2.21,10.95,5.06,5.12,4.46,3.75,5.5,3.77,6.41,5.32
"        Men''s hosiery                                      ","MEAN",19.31,7.05,8.51,10.18,10.07,10.94,16.65,8.27,18.93,31.53
"        Men''s hosiery                                      ","SE",1.52,3.32,3.9,3.92,3.71,3,4.02,2.09,3.86,3.44
"        Men''s nightwear                                    ","MEAN",1.75,0.11,0.3,0.34,0.31,0.92,1.28,0.91,1.08,3.65
"        Men''s nightwear                                    ","SE",0.17,0.11,0.18,0.19,0.21,0.3,0.36,0.29,0.25,0.43
"        Men''s accessories                                  ","MEAN",27.96,37.06,8.24,9.93,10.39,9.06,18.31,17.21,20.97,50.09
"        Men''s accessories                                  ","SE",3.42,34.91,4,4.72,3.42,2.14,4.96,3.78,5.1,6.68
"        Men''s shirts, sweaters, and vests (new UCC Q20131) ","MEAN",91.38,58.71,25.25,26.23,55.39,45.42,47.61,71.56,68.41,162
"        Men''s shirts, sweaters, and vests (new UCC Q20131) ","SE",6.3,26.66,15.03,8.41,14.51,8.43,10.79,13,8.68,17.03
"        Men''s sweaters and vests (thru Q20124)             ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Men''s active sportswear                            ","MEAN",25.76,9.06,2.71,13.04,13.76,12.15,8.73,13.58,18.48,49.97
"        Men''s active sportswear                            ","SE",2.81,5.32,2.72,6.84,6.55,4.7,3.44,5.3,6.55,7.58
"        Men''s shirts (thru Q20124)                         ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Men''s pants and shorts                             ","MEAN",72.27,47.95,36.02,15.83,32.88,44.86,56.83,63.68,78.11,108.66
"        Men''s pants and shorts                             ","SE",4.12,17.79,14.25,6.6,11.19,10.27,12.7,12.81,13.62,9.42
"        Men''s uniforms                                     ","MEAN",2.62,0.53,1.8,0.18,2.79,1.25,3.72,1.71,1.69,4.23
"        Men''s uniforms                                     ","SE",0.36,0.18,1.34,0.15,1.01,0.72,1.66,0.69,0.58,1.02
"        Men''s costumes                                     ","MEAN",0.85,0,0.4,0.62,0.78,0.19,0.6,0.34,1.47,1.25
"        Men''s costumes                                     ","SE",0.14,0,0.2,0.46,0.38,0.13,0.32,0.2,0.53,0.29
"      Boys, 2 to 15                                         ","MEAN",84.19,54.03,27.32,33.9,38.21,48.68,82.84,82.63,70.65,130.68
"      Boys, 2 to 15                                         ","SE",4.29,25.75,7.07,8.88,7.25,6.98,15.48,16.04,8.33,8.7
"        Boys'' coats and jackets                            ","MEAN",5.21,3.48,3.01,1.46,2.45,3.66,2.98,4.7,5.79,8.11
"        Boys'' coats and jackets                            ","SE",0.33,1.53,2.35,0.35,1.07,0.72,0.63,1,0.89,0.83
"        Boys'' sweaters (thru Q20124)                       ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Boys'' shirts (thru Q20124)                         ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Boy''s shirts and sweaters (new UCC Q20131)         ","MEAN",22.43,12.56,0.58,4.27,11.63,13.72,28.55,30.85,20.09,30.58
"        Boy''s shirts and sweaters (new UCC Q20131)         ","SE",2.19,7.01,0.6,2.37,3.53,4.06,6.72,11.64,6.25,4.31
"        Boys'' underwear                                    ","MEAN",11.68,14,5.57,7.96,0.95,5.82,12.79,12.29,7.68,17.88
"        Boys'' underwear                                    ","SE",1.22,8.93,4.82,4.99,0.65,3.42,3.82,4.83,2.44,3.05
"        Boys'' nightwear                                    ","MEAN",1.33,0.07,0.01,0.62,1.4,0.86,0.58,0.42,0.93,2.59
"        Boys'' nightwear                                    ","SE",0.17,0.07,0.01,0.27,0.68,0.47,0.2,0.16,0.27,0.36
"        Boys'' hosiery                                      ","MEAN",8.61,11.46,0.4,1.15,1.77,2.89,9.58,6.68,4.63,15.45
"        Boys'' hosiery                                      ","SE",1.27,10.05,0.42,1.02,1.28,1.35,6.99,2.08,1.47,2.47
"        Boys'' accessories                                  ","MEAN",4.83,1.98,0,3.24,2.62,1.39,7.17,5,2.88,7.54
"        Boys'' accessories                                  ","SE",1.13,2.02,0,2.9,1.67,0.77,5.2,1.98,1.32,2.22
"        Boys'' suits, sportcoats, vests                     ","MEAN",1.27,0.32,0.45,0.46,0.45,0.38,1.21,1.18,0.97,2.29
"        Boys'' suits, sportcoats, vests                     ","SE",0.28,0.31,0.45,0.34,0.39,0.32,0.47,0.85,0.39,0.71
"        Boys'' pants and shorts                             ","MEAN",23.65,9.1,14.8,13.38,15.61,18.28,16.83,18.81,24.5,35.3
"        Boys'' pants and shorts                             ","SE",1,2.41,3.59,2.66,4.05,2.31,2.49,2.02,2.62,2.38
"        Boys'' uniforms                                     ","MEAN",2.72,0.63,2.05,1.04,0.92,1.34,1.63,1.65,2.05,5.18
"        Boys'' uniforms                                     ","SE",0.29,0.39,0.97,0.48,0.67,0.4,0.74,0.56,0.82,0.82
"        Boys'' active sportswear                            ","MEAN",1.46,0.06,0.2,0.12,0.14,0.12,0.49,0.48,0.5,3.76
"        Boys'' active sportswear                            ","SE",0.16,0.05,0.16,0.09,0.13,0.1,0.15,0.19,0.16,0.47
"        Boys'' costumes                                     ","MEAN",0.99,0.38,0.26,0.2,0.28,0.2,1.01,0.56,0.65,1.98
"        Boys'' costumes                                     ","SE",0.14,0.16,0.16,0.12,0.12,0.09,0.42,0.2,0.16,0.4
"    Women and girls                                         ","MEAN",656.02,320.97,217.48,288.61,277.14,412.75,506.95,571.65,622.99,1031.59
"    Women and girls                                         ","SE",28.14,80.1,53.58,44.06,41.18,59.17,81.19,62.07,46.46,57.75
"      Women, 16 and over                                    ","MEAN",551.2,257.87,194.65,228.58,251.35,355.97,432.92,439.56,536.46,863.8
"      Women, 16 and over                                    ","SE",27.08,65.58,53.44,33.07,39.67,57.68,80.83,50.73,44.49,55.42
"        Women''s coats and jackets                          ","MEAN",42.46,31.91,28.72,11.33,17.35,20.79,15.56,37.08,46.57,69.66
"        Women''s coats and jackets                          ","SE",8.58,18,22.11,5.79,7.55,8.14,4.45,11.57,10.99,24.22
"        Women''s dresses                                    ","MEAN",88.59,23.16,7.83,16.87,45.69,71.4,89.98,89.56,59.4,140.93
"        Women''s dresses                                    ","SE",12.47,12.96,4.99,6.51,19.29,38.81,34.76,26.78,18.56,22.35
"        Women''s sportcoats, tailored jackets               ","MEAN",3.06,1.1,0,1.09,0.57,1.4,1.62,1.7,3.76,5.66
"        Women''s sportcoats, tailored jackets               ","SE",0.43,0.66,0,0.6,0.35,0.53,0.73,0.59,1.67,0.98
"        Women''s vests and sweaters (thru Q20124)           ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Women''s shirts, tops, blouses (thru Q20124)        ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Women''s sweaters, shirts, tops, vests (new UCC     ","MEAN",147.21,72.04,46.06,54.3,67.55,76.41,117.93,82.12,161.12,238.75
"        Women''s sweaters, shirts, tops, vests (new UCC     ","SE",8.15,21.17,13.07,13.45,13.74,10.11,21.1,10.56,16.81,16.79
"        Women''s skirts                                     ","MEAN",11.2,5.8,0.89,3.28,5.02,5.94,8.76,6.48,8.92,19.94
"        Women''s skirts                                     ","SE",1.83,4.1,1,1.93,3.62,2.83,4.21,2.52,2.47,4.59
"        Women''s pants and shorts                           ","MEAN",82.35,31.11,32.61,60.6,24.96,56.93,66.94,51.69,70.7,133.15
"        Women''s pants and shorts                           ","SE",4.86,10.44,19.32,13.92,7.54,8.76,14.6,11.97,10.98,10.75
"        Women''s active sportswear                          ","MEAN",25.54,17.75,5.46,11.41,9.62,8.88,22.34,25.02,28.39,39.11
"        Women''s active sportswear                          ","SE",3.04,12.77,4.79,5.28,4.22,2.81,9.53,9.6,6.5,7.29
"        Women''s sleepwear                                  ","MEAN",22.05,9.82,26.6,17.68,9.43,20.42,23.49,24.38,17.36,27.63
"        Women''s sleepwear                                  ","SE",2.38,5.81,13.14,7.22,5.12,9.26,6.85,5.8,4.97,3.95
"        Women''s undergarments                              ","MEAN",33.53,21.06,15.57,10.97,13.29,28.52,20.98,24.5,27.32,54.53
"        Women''s undergarments                              ","SE",3.03,12.47,8.47,3.21,4.57,6.74,6.01,6.04,6.35,7.11
"        Women''s hosiery                                    ","MEAN",18.48,7.34,11.89,12.83,11.18,10.55,20.92,15.38,20.02,24.73
"        Women''s hosiery                                    ","SE",1.34,3.91,3.54,2.57,2.99,2.38,8.39,2.75,3.13,2.36
"        Women''s suits                                      ","MEAN",5.55,5.62,0.92,1.6,2.28,1.75,0.86,2.5,3.08,12.16
"        Women''s suits                                      ","SE",0.61,2.28,0.68,0.73,0.78,0.66,0.36,1.01,0.51,1.8
"        Women''s accessories                                ","MEAN",65.77,28.62,16.25,24.9,39.95,49.7,40.48,74.08,84.59,88.8
"        Women''s accessories                                ","SE",5.69,12.25,7.38,5.93,14.93,13.97,13.8,17.99,16.3,8.75
"        Women''s uniforms                                   ","MEAN",4.3,2.32,1.5,1.57,4.34,1.02,2.58,4.7,4.15,7.09
"        Women''s uniforms                                   ","SE",0.56,0.97,1.03,1.46,1.77,0.33,0.7,1.97,0.92,1.33
"        Women''s costumes                                   ","MEAN",1.1,0.21,0.35,0.17,0.13,2.24,0.5,0.37,1.08,1.68
"        Women''s costumes                                   ","SE",0.28,0.15,0.34,0.13,0.09,1.9,0.28,0.19,0.27,0.35
"      Girls, 2 to 15                                        ","MEAN",104.83,63.1,22.84,60.03,25.79,56.78,74.03,132.09,86.53,167.78
"      Girls, 2 to 15                                        ","SE",5.53,27.15,6.4,25.02,4,6.92,11.79,27.56,8.76,11.2
"        Girls'' coats and jackets                           ","MEAN",5.21,0.67,1.64,1.33,2.24,3.23,4.27,4.46,4.84,8.96
"        Girls'' coats and jackets                           ","SE",0.34,0.41,0.85,0.38,0.46,0.58,0.88,0.91,0.97,1.01
"        Girls'' dresses and suits                           ","MEAN",14.06,3.96,1.78,8.46,3.9,6.62,13.21,22.28,11.04,21.1
"        Girls'' dresses and suits                           ","SE",2.22,4.02,2.01,5.68,2.4,3.07,6.58,15.11,3.45,4.21
"        Girls'' shirts, blouses, sweaters, vests            ","MEAN",28.01,16.56,6.12,19.19,4.48,14.9,14.65,30.2,22.43,47.42
"        Girls'' shirts, blouses, sweaters, vests            ","SE",2.28,9.7,2.85,7.6,1.85,4.46,4.76,7.01,4.39,6.05
"        Girls'' skirts, pants, and shorts                   ","MEAN",23.45,9.92,6.2,9.84,7.32,16.03,21.52,17.27,22.63,38.42
"        Girls'' skirts, pants, and shorts                   ","SE",1.25,4.8,1.16,2.48,1.82,1.88,2.8,2.15,2.47,2.88
"        Girls'' active sportswear                           ","MEAN",10.13,6.87,2.44,4.69,2.36,1.9,3.16,24.33,7.17,15.99
"        Girls'' active sportswear                           ","SE",1.62,5.08,2.42,4.86,1.67,1.01,1.95,9.29,2.69,3.53
"        Girls'' underwear and sleepwear                     ","MEAN",9.69,14.28,0,6.8,0.76,5.63,7.4,18.66,8.83,12.37
"        Girls'' underwear and sleepwear                     ","SE",1.23,7.46,0,3.43,0.78,1.79,2.67,6.59,2.62,1.9
"        Girls'' hosiery                                     ","MEAN",5.9,6.92,1.72,5.27,0.94,2.04,4.18,4.9,4.17,10.05
"        Girls'' hosiery                                     ","SE",0.51,4.83,1.43,3.07,0.43,0.99,1.73,1.44,1.21,1.24
"        Girls'' accessories                                 ","MEAN",4.56,3.44,2.26,2.48,2.06,2.89,2.36,7.59,3.44,6.62
"        Girls'' accessories                                 ","SE",0.84,3.49,1.32,2.28,0.91,1.12,1.26,4.21,1.18,1.59
"        Girls'' uniforms                                    ","MEAN",2.39,0.22,0.62,1.67,1.6,2.9,2.07,1.23,1.48,3.83
"        Girls'' uniforms                                    ","SE",0.26,0.22,0.31,0.84,0.75,0.75,0.49,0.3,0.65,0.63
"        Girls'' costumes                                    ","MEAN",1.42,0.26,0.05,0.29,0.14,0.65,1.2,1.17,0.49,3.03
"        Girls'' costumes                                    ","SE",0.18,0.13,0.04,0.17,0.1,0.21,0.73,0.32,0.14,0.42
"    Children under 2                                        ","MEAN",76.23,29.07,68.21,40.12,44.33,54.91,53.77,66.09,70.69,112.94
"    Children under 2                                        ","SE",5.33,13.09,21.72,12.58,13.43,8.8,11.68,11.08,11.32,11.2
"      Infant coat, jacket, snowsuit                         ","MEAN",0.99,1.74,0.08,0.55,0.74,0.47,0.92,0.48,0.25,1.77
"      Infant coat, jacket, snowsuit                         ","SE",0.26,1.13,0.09,0.39,0.44,0.13,0.43,0.27,0.12,0.62
"      Infant dresses, outerwear                             ","MEAN",18.06,6.61,6.53,5.69,4.58,9.9,11.4,12.43,12.09,33.7
"      Infant dresses, outerwear                             ","SE",2.04,4.91,4.21,3.2,2.15,2.93,3.85,4.58,2.91,5.68
"      Infant underwear                                      ","MEAN",44.33,15.71,58.14,24.5,29.38,33.84,36.52,47.79,44.72,57.05
"      Infant underwear                                      ","SE",4.15,10.8,18.47,7.31,10.14,7.11,10.28,9.13,9.33,6.97
"      Infant nightwear, loungewear                          ","MEAN",3.78,1.03,1.6,3.13,2.97,2.2,2.95,0.89,3.52,6.19
"      Infant nightwear, loungewear                          ","SE",0.67,1.05,1.56,2.47,2.14,0.88,1.91,0.67,1.88,1.51
"      Infant accessories                                    ","MEAN",9.07,3.98,1.86,6.25,6.66,8.51,1.97,4.5,10.11,14.23
"      Infant accessories                                    ","SE",0.9,2.29,1.17,3.37,2.56,2.6,1.05,1.86,3.37,1.87
"    Footwear                                                ","MEAN",366.86,224.89,153.47,172.13,142.78,164.83,301.79,373.1,365.42,563.33
"    Footwear                                                ","SE",17.09,67.44,42.16,32.11,25.94,21.01,78.81,53.5,43.79,38.3
"      Men''s footwear                                       ","MEAN",110.57,85.25,49.1,57.26,53.25,41.95,61.54,71.54,119.66,182.51
"      Men''s footwear                                       ","SE",7.99,54.02,25.97,23.39,13.95,10.4,19.57,21.21,29.24,21.97
"      Boys'' footwear                                       ","MEAN",53.05,54.96,24.23,14.64,6.88,33.52,75.97,79.84,41.72,68.51
"      Boys'' footwear                                       ","SE",7.81,41.38,20.41,10.04,3.26,8.83,53.13,20.44,13.89,10.59
"      Women''s footwear                                     ","MEAN",169.12,55.33,70.11,69.61,71.88,73.67,133.45,159.42,186.35,263.51
"      Women''s footwear                                     ","SE",11.61,14.11,25.04,15.41,20.19,11.32,28.8,25.67,28.9,27.54
"      Girls'' footwear                                      ","MEAN",34.11,29.36,10.04,30.62,10.77,15.69,30.83,62.31,17.7,48.8
"      Girls'' footwear                                      ","SE",3.29,13.9,4.96,12.95,4.62,6.86,10.38,23.6,4.5,6.78
"    Other apparel products and services                     ","MEAN",256.46,92.41,92.06,88.31,135.53,104.27,145.11,185.54,171.14,491.04
"    Other apparel products and services                     ","SE",24.53,12.22,10.44,9.44,38.08,9.34,19.71,18.06,16.47,69.83
"      Material for making clothes (thru Q20124)             ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Sewing patterns and notions (thru Q20124)             ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Material and supplies for sewing, needlework, quilting","MEAN",27.09,12.94,4.58,11.49,11.75,16.58,14.81,26.72,27.12,43.48
"      Material and supplies for sewing, needlework, quilting","SE",2.89,5.72,2.49,6.79,8,8.2,4.4,7.3,6.07,6.6
"      Watches                                               ","MEAN",56.63,6.68,9.93,3.3,8.03,2.39,26.61,28.7,12.29,137.71
"      Watches                                               ","SE",23.07,5.45,7.53,2.04,3.83,1.01,14.88,6.84,9.13,64.54
"      Jewelry                                               ","MEAN",70.99,8.93,3.96,8.46,58.83,9.55,32.45,38.46,50.91,153.19
"      Jewelry                                               ","SE",5.87,4.55,1.56,3.35,36.77,1.67,9.36,11.08,10.67,16.92
"      Shoe repair and other shoe service                    ","MEAN",1.54,2.71,0.68,0.52,0.25,0.69,1.08,0.92,1.02,2.74
"      Shoe repair and other shoe service                    ","SE",0.21,2.07,0.44,0.2,0.11,0.34,0.55,0.4,0.28,0.39
"      Coin-operated apparel laundry and dry cleaning        ","MEAN",39.87,43.52,62.59,55.46,45.73,57.09,48.95,58.51,34.15,21.14
"      Coin-operated apparel laundry and dry cleaning        ","SE",1.57,5.2,7.02,5.34,4.26,4.98,4.39,5.04,3.19,1.47
"      Alteration, repair and tailoring of apparel and       ","MEAN",5.69,0.8,1.52,1.28,2.58,2.32,2.13,3.58,3.86,11.99
"      Alteration, repair and tailoring of apparel and       ","SE",0.53,0.35,0.6,0.49,0.82,1.02,0.44,0.87,0.83,1.71
"      Clothing rental                                       ","MEAN",2.02,1.07,0.96,0.04,0.18,0.22,1.07,0.99,2.65,3.97
"      Clothing rental                                       ","SE",0.32,0.68,0.96,0.04,0.18,0.16,0.52,0.6,0.8,0.81
"      Watch and jewelry repair                              ","MEAN",3.01,0.43,0.47,0.36,0.8,2.54,1.59,2.8,2.26,5.62
"      Watch and jewelry repair                              ","SE",0.32,0.24,0.25,0.15,0.38,0.81,0.62,0.77,0.45,0.79
"      Apparel laundry and dry cleaning not coin-operated    ","MEAN",48.16,15.33,6.78,7.4,7.27,12.9,14.86,24.47,34.02,108.74
"      Apparel laundry and dry cleaning not coin-operated    ","SE",2.22,7.08,2.24,1.62,1.06,2.11,1.97,3.07,3.11,5.7
"      Clothing storage                                      ","MEAN",1.44,0,0.58,0,0.12,0,1.55,0.4,2.86,2.44
"      Clothing storage                                      ","SE",0.46,0,0.59,0,0.12,0,1.16,0.29,1.48,1
"  Transportation                                            ","MEAN",8965.88,3248.24,3053.8,3493.32,4156.13,5677.59,6354.82,8170.24,9373.12,14412.27
"  Transportation                                            ","SE",175.05,395.86,375.02,367.64,247.91,302.32,347.55,387.12,354.82,364.3
"    Vehicle purchases (net outlay)                          ","MEAN",3301.09,980.2,1179.25,1252.75,1195.13,1905.57,1969.9,3150.71,3441.73,5582.34
"    Vehicle purchases (net outlay)                          ","SE",147.72,290.85,326.49,333.2,232.61,272.85,300.87,363.61,305.69,329.81
"      Cars and trucks, new                                  ","MEAN",1561.61,423.21,280.11,510.87,399.76,523.82,763.92,1520.44,1206.11,3085.24
"      Cars and trucks, new                                  ","SE",120.29,237.26,208.65,257.04,154.07,134.49,212.78,277.67,233.64,254.68
"        New cars                                            ","MEAN",709.18,284.26,111.89,470.55,251.14,271.25,233.49,697.55,672.23,1297.95
"        New cars                                            ","SE",69.41,193.34,110.62,255.16,116.54,86.69,103.04,190.88,163.2,161.57
"        New trucks                                          ","MEAN",852.43,138.95,168.22,40.32,148.62,252.57,530.44,822.89,533.88,1787.28
"        New trucks                                          ","SE",92.43,108.61,176.74,32.72,104.78,99.33,178.48,200.63,146.11,195.99
"      Cars and trucks, used                                 ","MEAN",1689.09,556.99,897.04,741.88,795.37,1341.33,1203.2,1593.91,2146.91,2408.43
"      Cars and trucks, used                                 ","SE",73.36,195.12,235.47,145.22,170.93,242.7,191.53,202.42,205.32,174.75
"        Used cars                                           ","MEAN",872.67,302.94,266.67,635.73,610.07,733.39,470.71,748.76,1195.08,1192.8
"        Used cars                                           ","SE",41.66,128.6,118.33,141.22,155.69,171.83,119.43,113.38,168.85,102.78
"        Used trucks                                         ","MEAN",816.42,254.05,630.37,106.15,185.31,607.94,732.5,845.15,951.84,1215.63
"        Used trucks                                         ","SE",62.79,150.48,204.97,45.75,68.68,162.28,164.86,166.45,155.55,151.04
"      Other vehicles                                        ","MEAN",50.39,0,2.1,0,0,40.42,2.77,36.36,88.71,88.67
"      Other vehicles                                        ","SE",14.26,0,2.12,0,0,35.66,2.72,23.02,53.6,32.82
"        New motorcycles                                     ","MEAN",27.72,0,0,0,0,34.29,0,0.85,80.86,36.47
"        New motorcycles                                     ","SE",10.67,0,0,0,0,35.17,0,0.86,52.33,18.9
"        New aircraft                                        ","MEAN",0,0,0,0,0,0,0,0,0,0
